"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phase [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(Average_SAR) []"""
-2,0.5,1.5,0,9,12,5,4.5,6.30470809320448
-2,0.5,1.5,0,9,12,5,4.6,6.35536968914017
-2,0.5,1.5,0,9,12,5,4.7,6.40412580062345
-2,0.5,1.5,0,9,12,5,4.8,6.45096041237366
-2,0.5,1.5,0,9,12,5,4.9,6.49587949491802
-2,0.5,1.5,0,9,12,5,5,6.53895220250732
-2,0.5,1.5,0,9,12,5,5.1,6.58015966442708
-2,0.5,1.5,0,9,12,5,5.2,6.61983933621605
-2,0.5,1.5,0,9,12,5,5.3,6.65817078830005
-2,0.5,1.5,0,9,12,5,5.4,6.69525434943554
-2,0.5,1.5,0,9,12,5,5.5,6.73139056957369
-2,0.5,1.5,0,9,12,5,5.6,6.76660917885622
-2,0.5,1.5,0,9,12,5,5.7,6.80116528553255
-2,0.5,1.5,0,9,12,5,5.8,6.83534942597301
-2,0.5,1.5,0,9,12,5,5.9,6.86922713784797
-2,0.5,1.5,0,9,12,5,6,6.90301386584756
-2,0.5,1.5,0,9,12,5,6.1,6.9366492886274
-2,0.5,1.5,0,9,12,5,6.2,6.97028099072882
-2,0.5,1.5,0,9,12,5,6.3,7.00406963610304
-2,0.5,1.5,0,9,12,5,6.4,7.03803276562598
-2,0.5,1.5,0,9,12,5,6.5,7.0722905208396
-2,0.5,1.5,0,9,12,5,6.6,7.10692326233028
-2,0.5,1.5,0,9,12,5,6.7,7.14222472901083
-2,0.5,1.5,0,9,12,5,6.8,7.17834109603983
-2,0.5,1.5,0,9,12,5,6.9,7.21531822084242
-2,0.5,1.5,0,9,12,5,7,7.25343778218006
-2,0.5,1.5,0,9,12,5,7.1,7.2927814452774
-2,0.5,1.5,0,9,12,5,7.2,7.33361615866905
-2,0.5,1.5,0,9,12,5,7.3,7.37616106606361
-2,0.5,1.5,0,9,12,5,7.4,7.42048037730484
-2,0.5,1.5,0,9,12,5,7.5,7.46670178858239
-2,0.5,1.5,0,9,12,5,7.6,7.51491486012022
-2,0.5,1.5,0,9,12,5,7.7,7.56527573083349
-2,0.5,1.5,0,9,12,5,7.8,7.61784958703214
-2,0.5,1.5,0,9,12,5,7.9,7.67276420095556
-2,0.5,1.5,0,9,12,5,8,7.73012924465717
-2,0.5,1.5,0,9,12,5,8.1,7.78979809435551
-2,0.5,1.5,0,9,12,5,8.2,7.85182076891848
-2,0.5,1.5,0,9,12,5,8.3,7.91621725564508
-2,0.5,1.5,0,9,12,5,8.4,7.98304520037687
-2,0.5,1.5,0,9,12,5,8.5,8.05239922262801
-2,0.5,1.5,0,9,12,5,8.6,8.12416578635351
-2,0.5,1.5,0,9,12,5,8.7,8.19832808669687
-2,0.5,1.5,0,9,12,5,8.8,8.27493625565582
-2,0.5,1.5,0,9,12,5,8.9,8.35392950491329
-2,0.5,1.5,0,9,12,5,9,8.43536704479532
-2,0.5,1.5,0,9,12,5,9.1,8.51918142052052
-2,0.5,1.5,0,9,12,5,9.2,8.60535614855058
-2,0.5,1.5,0,9,12,5,9.3,8.69382659233671
-2,0.5,1.5,0,9,12,5,9.4,8.7845477084348
-2,0.5,1.5,0,9,12,5,9.5,8.87745971920293
-2,0.5,1.5,0,9,12,5,9.6,8.97249189582324
-2,0.5,1.5,0,9,12,5,9.7,9.06961694174287
-2,0.5,1.5,0,9,12,5,9.8,9.16876345347019
-2,0.5,1.5,0,9,12,5,9.9,9.26980652307219
-2,0.5,1.5,0,9,12,5,10,9.37272392111258
-2,0.5,1.5,0,9,12,5,10.1,9.47736287226574
-2,0.5,1.5,0,9,12,5,10.2,9.58361692453647
-2,0.5,1.5,0,9,12,5,10.3,9.6914992823419
-2,0.5,1.5,0,9,12,5,10.4,9.80087868938261
-2,0.5,1.5,0,9,12,5,10.5,9.911642003206
-2,0.5,1.5,0,9,12,5,10.6,10.0237011640423
2,0.5,1.5,0,9,12,5,0.6,7.7898883400384
2,0.5,1.5,0,9,12,5,0.7,8.33507562639517
2,0.5,1.5,0,9,12,5,0.8,8.64728242268525
2,0.5,1.5,0,9,12,5,0.9,8.76872755709342
2,0.5,1.5,0,9,12,5,1,8.74741157620769
2,0.5,1.5,0,9,12,5,1.1,8.62120490087226
2,0.5,1.5,0,9,12,5,1.2,8.43147624751724
2,0.5,1.5,0,9,12,5,1.3,8.2076963275333
