"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phase [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(Average_SAR) []"""
-2,0.5,1.5,0,9,12,5,9.4,23.3962861181482
-2,0.5,1.5,0,9,12,5,9.5,23.6756082564275
-2,0.5,1.5,0,9,12,5,9.6,23.9791786562861
-2,0.5,1.5,0,9,12,5,9.7,24.3061564990054
-2,0.5,1.5,0,9,12,5,9.8,24.6553837936505
-2,0.5,1.5,0,9,12,5,9.9,25.025647372466
-2,0.5,1.5,0,9,12,5,10,25.4156869165944
-2,0.5,1.5,0,9,12,5,10.1,25.8244055493141
-2,0.5,1.5,0,9,12,5,10.2,26.2501526106221
-2,0.5,1.5,0,9,12,5,10.3,26.6913482438548
-2,0.5,1.5,0,9,12,5,10.4,27.1465883701013
-2,0.5,1.5,0,9,12,5,10.5,27.6141997938032
-2,0.5,1.5,0,9,12,5,10.6,28.0921093989218
2,0.5,1.5,0,9,12,5,0.6,2.18752577092799
2,0.5,1.5,0,9,12,5,0.7,2.13020828858491
2,0.5,1.5,0,9,12,5,0.8,2.14519806907273
2,0.5,1.5,0,9,12,5,0.9,2.23691478707376
2,0.5,1.5,0,9,12,5,1,2.40817882975997
2,0.5,1.5,0,9,12,5,1.1,2.60457119643523
2,0.5,1.5,0,9,12,5,1.2,2.83031101773252
2,0.5,1.5,0,9,12,5,1.3,3.09106135629014
2,0.5,1.5,0,9,12,5,1.4,3.36981173045884
2,0.5,1.5,0,9,12,5,1.5,3.68231219943552
2,0.5,1.5,0,9,12,5,1.6,4.01143089922832
2,0.5,1.5,0,9,12,5,1.7,4.35550526378932
2,0.5,1.5,0,9,12,5,1.8,4.71289388319397
2,0.5,1.5,0,9,12,5,1.9,5.07277633491191
2,0.5,1.5,0,9,12,5,2,5.44807104198035
2,0.5,1.5,0,9,12,5,2.1,5.82404022697975
2,0.5,1.5,0,9,12,5,2.2,6.20036703180367
2,0.5,1.5,0,9,12,5,2.3,6.58120141425819
2,0.5,1.5,0,9,12,5,2.4,6.95949827826729
2,0.5,1.5,0,9,12,5,2.5,7.3410317563121
2,0.5,1.5,0,9,12,5,2.6,7.72052146182719
2,0.5,1.5,0,9,12,5,2.7,8.10115774160156
2,0.5,1.5,0,9,12,5,2.8,8.48102866185928
2,0.5,1.5,0,9,12,5,2.9,8.86147718577613
2,0.5,1.5,0,9,12,5,3,9.24406083712248
2,0.5,1.5,0,9,12,5,3.1,9.62778128867115
2,0.5,1.5,0,9,12,5,3.2,10.0134327802352
2,0.5,1.5,0,9,12,5,3.3,10.4020552956248
2,0.5,1.5,0,9,12,5,3.4,10.7926418839575
2,0.5,1.5,0,9,12,5,3.5,11.1866464830753
2,0.5,1.5,0,9,12,5,3.6,11.5827708501268
2,0.5,1.5,0,9,12,5,3.7,11.981746143294
2,0.5,1.5,0,9,12,5,3.8,12.3833462333644
2,0.5,1.5,0,9,12,5,3.9,12.7871767270785
2,0.5,1.5,0,9,12,5,4,13.1936604366726
2,0.5,1.5,0,9,12,5,4.1,13.6025884059523
2,0.5,1.5,0,9,12,5,4.2,14.0136516665217
2,0.5,1.5,0,9,12,5,4.3,14.4265249437328
2,0.5,1.5,0,9,12,5,4.4,14.840951318297
2,0.5,1.5,0,9,12,5,4.5,15.2563460414118
2,0.5,1.5,0,9,12,5,4.6,15.67244946931
2,0.5,1.5,0,9,12,5,4.7,16.0886351545484
2,0.5,1.5,0,9,12,5,4.8,16.5047509844
2,0.5,1.5,0,9,12,5,4.9,16.9201586342154
2,0.5,1.5,0,9,12,5,5,17.3343547842537
2,0.5,1.5,0,9,12,5,5.1,17.74649804923
2,0.5,1.5,0,9,12,5,5.2,18.1558201524075
2,0.5,1.5,0,9,12,5,5.3,18.561824574719
2,0.5,1.5,0,9,12,5,5.4,18.9640811870995
2,0.5,1.5,0,9,12,5,5.5,19.3618187037485
2,0.5,1.5,0,9,12,5,5.6,19.7543285312243
2,0.5,1.5,0,9,12,5,5.7,20.1410014678859
2,0.5,1.5,0,9,12,5,5.8,20.5210177686647
2,0.5,1.5,0,9,12,5,5.9,20.8934782401367
2,0.5,1.5,0,9,12,5,6,21.2572597813684
2,0.5,1.5,0,9,12,5,6.1,21.611763855163
2,0.5,1.5,0,9,12,5,6.2,21.9560394532646
2,0.5,1.5,0,9,12,5,6.3,22.2892198683251
2,0.5,1.5,0,9,12,5,6.4,22.6103189104082
2,0.5,1.5,0,9,12,5,6.5,22.9185949529566
2,0.5,1.5,0,9,12,5,6.6,23.2133417928233
2,0.5,1.5,0,9,12,5,6.7,23.4938199409109
