"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phi [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(dB(GainTotal)) []"""
-2,0.5,1.5,0,11,8,5,1.1,-21.8469814383193
-2,0.5,1.5,0,11,8,5,1.2,-20.7159284897607
-2,0.5,1.5,0,11,8,5,1.3,-19.8519837690126
-2,0.5,1.5,0,11,8,5,1.4,-18.8969207522823
-2,0.5,1.5,0,11,8,5,1.5,-18.1596509754064
-2,0.5,1.5,0,11,8,5,1.6,-17.5717103996541
-2,0.5,1.5,0,11,8,5,1.7,-17.0661952975376
-2,0.5,1.5,0,11,8,5,1.8,-16.8101628856197
-2,0.5,1.5,0,11,8,5,1.9,-16.3910961868119
-2,0.5,1.5,0,11,8,5,2,-16.1556044695525
-2,0.5,1.5,0,11,8,5,2.1,-15.9792754938224
-2,0.5,1.5,0,11,8,5,2.2,-15.8052827428738
-2,0.5,1.5,0,11,8,5,2.3,-15.813446168157
-2,0.5,1.5,0,11,8,5,2.4,-15.7338698024786
-2,0.5,1.5,0,11,8,5,2.5,-15.7919856569654
-2,0.5,1.5,0,11,8,5,2.6,-15.8080035054327
-2,0.5,1.5,0,11,8,5,2.7,-15.807398263934
-2,0.5,1.5,0,11,8,5,2.8,-15.8390942604128
-2,0.5,1.5,0,11,8,5,2.9,-15.8701142798838
-2,0.5,1.5,0,11,8,5,3,-15.8476207325951
-2,0.5,1.5,0,11,8,5,3.1,-15.8523582579085
-2,0.5,1.5,0,11,8,5,3.2,-15.7564088078869
-2,0.5,1.5,0,11,8,5,3.3,-15.6291886633835
